,Date,AXP,FB,INTC,MCD,PG,WMT
74,2010-04-16,39.600821999999994,,18.027379999999997,52.463547,47.135139,43.316441
75,2010-04-19,40.180344,,18.087675,53.139961,47.412636,43.5406
76,2010-04-20,40.5667,,18.178112,53.459164,47.390137,43.644669
77,2010-04-21,40.382305,,17.936945,53.474373,47.720112,43.604633
78,2010-04-22,41.067188,,18.080139000000003,53.983574,47.690128,43.620644
79,2010-04-23,42.19112,,18.117819,54.074783,47.652615000000004,43.652664
80,2010-04-26,41.392067,,17.952015,53.975967000000004,47.952602,43.260403000000004
81,2010-04-27,40.206684,,17.597799,53.60356899999999,47.330128,43.260403000000004
82,2010-04-28,40.461319,,17.529968,53.459164,47.739596999999996,42.916164
83,2010-04-29,41.79599,,17.703314000000002,54.355976,47.006527,42.988234999999996
84,2010-04-30,40.496433,,17.213434,53.64915799999999,46.976307,42.940186
85,2010-05-03,41.444763,,17.529968,54.279964,47.369282,43.020247999999995
86,2010-05-04,40.268147,,17.002409,53.68716800000001,46.636234,43.2444
87,2010-05-05,39.012512,,16.825956,53.702362,46.976307,43.844803000000006
88,2010-05-06,37.317840999999994,,16.325048000000002,52.759949,45.910709000000004,42.611973
89,2010-05-07,35.649525,,16.173254,51.688339,45.578196999999996,41.947540000000004
90,2010-05-10,37.835903,,17.114361,53.641571,47.172783,42.091644
91,2010-05-11,38.046634999999995,,16.909443,53.565571,47.135014,41.995585999999996
92,2010-05-12,38.722752,,17.524193,53.709972,47.626217,42.255245
93,2010-05-13,37.590046,,17.076414,53.580769,47.422191999999995,42.190822999999995
94,2010-05-14,35.684639000000004,,16.613445000000002,52.889148999999996,47.263477,41.965385
95,2010-05-17,36.193915999999994,,16.712120000000002,53.307156000000006,47.898293,42.456528000000006
96,2010-05-18,34.982178000000005,,16.264336,53.215954,47.769816999999996,43.245605
97,2010-05-19,35.271941999999996,,16.393356,52.744751,47.777386,42.706131
98,2010-05-20,33.910946,,15.7786,51.422337,46.56065,41.305134
99,2010-05-21,34.964619,,15.869676,51.574341,46.742020000000004,41.361511
100,2010-05-24,34.279732,,15.687531,51.422337,46.401939,41.063587
101,2010-05-25,34.244621,,15.824142000000002,51.559139,46.137436,40.483868
